NHHINC,HFIN_YN,HPRES_MORT,HDIV_YN,NHUNDER18,HINT_YN,NRPP
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
1,2,1,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.56097561,2,1,2,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0.414634146,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.268292683,2,0,2,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.268292683,2,2,2,0,0,0.846740051
0.487804878,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.487804878,2,2,2,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0.56097561,2,1,2,0.1,1,0.846740051
0.219512195,2,1,2,0.2,2,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.853658537,2,1,1,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.317073171,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.926829268,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.12195122,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.195121951,2,2,2,0,0,0.846740051
0.243902439,2,1,2,0,0,0.846740051
0.097560976,2,0,2,0,0,0.846740051
1,2,2,2,0,0,0.846740051
0.585365854,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
