SARPP Regional Price Parities by state,,,,,,,
(Index) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,FIPS,RPP:all
29000,Missouri,2,  RPPs: Goods,95.2,,,
29000,Missouri,3,  RPPs: Services: Rents,72.3,,,
29000,Missouri,4,  RPPs: Services: Other,92.2,,,
30000,Montana,1,RPPs: All items,93.3,,,
30000,Montana,2,  RPPs: Goods,98,,,
30000,Montana,3,  RPPs: Services: Rents,82.8,,,
30000,Montana,4,  RPPs: Services: Other,94.4,,,
31000,Nebraska,1,RPPs: All items,89.5,,,
31000,Nebraska,2,  RPPs: Goods,95,,,
31000,Nebraska,3,  RPPs: Services: Rents,75.7,,,
31000,Nebraska,4,  RPPs: Services: Other,91.4,,,
32000,Nevada,1,RPPs: All items,97.5,,,
32000,Nevada,2,  RPPs: Goods,94.5,,,
32000,Nevada,3,  RPPs: Services: Rents,99.2,,,
32000,Nevada,4,  RPPs: Services: Other,99.9,,,
33000,New Hampshire,1,RPPs: All items,106,,,
33000,New Hampshire,2,  RPPs: Goods,101.2,,,
33000,New Hampshire,3,  RPPs: Services: Rents,113.7,,,
33000,New Hampshire,4,  RPPs: Services: Other,106.1,,,
34000,New Jersey,1,RPPs: All items,115.2,,,
34000,New Jersey,2,  RPPs: Goods,102.6,,,
34000,New Jersey,3,  RPPs: Services: Rents,131.1,,,
34000,New Jersey,4,  RPPs: Services: Other,116.3,,,
35000,New Mexico,1,RPPs: All items,91.1,,,
35000,New Mexico,2,  RPPs: Goods,95.5,,,
35000,New Mexico,3,  RPPs: Services: Rents,76.3,,,
35000,New Mexico,4,  RPPs: Services: Other,98.4,,,
36000,New York,1,RPPs: All items,116.4,,,
36000,New York,2,  RPPs: Goods,108.5,,,
36000,New York,3,  RPPs: Services: Rents,131.4,,,
36000,New York,4,  RPPs: Services: Other,114.4,,,
37000,North Carolina,1,RPPs: All items,91.8,,,
37000,North Carolina,2,  RPPs: Goods,96.4,,,
37000,North Carolina,3,  RPPs: Services: Rents,79,,,
37000,North Carolina,4,  RPPs: Services: Other,94.5,,,
38000,North Dakota,1,RPPs: All items,90.6,,,
38000,North Dakota,2,  RPPs: Goods,94.9,,,
38000,North Dakota,3,  RPPs: Services: Rents,80.9,,,
38000,North Dakota,4,  RPPs: Services: Other,91.2,,,
39000,Ohio,1,RPPs: All items,88.4,,,
39000,Ohio,2,  RPPs: Goods,96,,,
