HHINC,FINC_FIN,HPRES_MORT,HDIV_YN,FOWNU18,HINT_YN,RPP
41,0,1,2,0,2,97.5
13,0,0,2,0,2,97.5
13,0,0,2,0,2,97.5
0,0,0,0,0,0,97.5
41,0,0,2,0,1,97.5
0,0,0,0,0,0,97.5
10,0,0,2,0,1,97.5
0,0,0,0,0,0,107.8
0,0,0,0,0,0,107.8
28,0,1,2,0,1,107.8
8,0,2,2,0,1,107.8
29,0,1,2,0,2,107.8
0,0,0,0,0,0,107.8
0,0,0,0,0,0,107.8
25,0,0,2,0,1,107.8
41,0,1,2,0,1,107.8
16,0,0,2,0,2,107.8
0,0,0,0,0,0,107.8
0,0,0,0,0,0,107.8
41,0,1,1,0,1,107.8
0,0,0,0,0,0,107.8
0,0,0,0,0,0,107.8
40,0,2,1,0,1,107.8
41,0,2,2,0,1,107.8
7,0,2,2,0,1,101.1
11,0,0,2,0,2,101.1
37,0,2,1,0,1,101.1
41,0,2,2,0,1,101.1
41,0,2,1,0,1,101.1
9,0,1,2,0,1,101.1
41,0,0,2,0,1,101.1
0,0,0,0,0,0,101.1
41,0,1,2,0,1,101.1
41,0,1,1,0,1,101.1
32,0,0,1,0,1,101.1
41,0,0,1,0,1,101.1
41,0,2,1,0,1,101.1
0,0,0,0,0,0,101.1
28,0,0,2,0,2,101.1
1,0,0,2,0,2,115.4
2,0,1,2,0,1,115.4
15,0,1,2,0,2,115.4
41,0,1,2,0,2,115.4
1,0,2,2,0,2,115.4
17,0,0,2,0,1,115.4
22,0,0,2,0,1,115.4
0,0,0,0,0,0,115.4
20,0,2,2,0,2,115.4
5,0,0,2,0,2,115.4
10,0,0,2,0,1,115.4
17,0,0,2,0,2,115.4
0,0,0,0,0,0,115.4
41,0,2,2,0,1,115.4
29,0,0,2,0,1,115.4
0,0,0,0,0,0,115.4
35,0,0,2,0,1,115.4
11,0,0,2,0,2,115.4
17,0,0,2,0,2,115.4
0,0,0,0,0,0,115.4
0,0,0,0,0,0,115.4
0,0,0,0,0,0,115.4
24,0,2,2,0,1,115.4
0,0,0,0,0,0,115.4
8,0,2,2,0,2,115.4
29,0,1,1,0,1,115.4
41,0,1,2,0,2,115.4
16,0,0,2,0,1,115.4
36,0,2,2,0,1,115.4
27,0,1,2,0,1,115.4
11,0,0,2,0,1,115.4
1,0,0,2,0,2,115.4
10,0,0,1,0,2,115.4
0,0,0,0,0,0,115.4
0,0,0,0,0,0,115.4
11,0,2,1,0,1,115.4
41,0,1,2,0,2,115.4
14,0,0,2,0,2,115.4
0,0,0,0,0,0,115.4
41,0,2,1,0,1,115.4
41,0,1,2,0,1,115.4
15,0,1,2,0,1,115.4
11,0,2,2,0,2,115.4
2,0,0,2,0,2,115.4
29,0,1,2,0,1,115.4
28,0,1,2,0,1,115.4
3,0,0,2,0,1,115.4
26,0,1,1,0,1,115.4
41,0,1,1,0,1,115.4
0,0,0,0,0,0,115.4
0,0,0,0,0,0,115.4
25,0,0,2,0,2,115.4
0,0,0,0,0,0,115.4
39,0,1,2,0,1,115.4
41,0,1,2,0,2,115.4
39,0,1,2,0,1,115.4
8,0,0,2,0,2,115.4
3,0,1,1,0,1,115.4
1,0,2,2,0,2,115.4
0,0,0,0,0,0,115.4
0,0,0,0,0,0,115.4
8,0,0,2,0,1,115.4
29,0,1,2,0,2,115.4
36,0,0,1,0,1,115.4
0,0,0,0,0,0,115.4
1,0,0,2,0,2,115.4
17,0,1,2,0,1,115.4
41,0,1,2,0,1,115.4
21,0,0,2,0,1,115.4
41,0,0,1,0,1,115.4
28,0,0,2,0,1,115.4
41,0,0,1,0,1,115.4
41,0,2,2,0,1,115.4
22,0,0,2,0,1,115.4
0,0,0,0,0,0,115.4
41,0,0,2,0,1,115.4
0,0,0,0,0,0,115.4
9,0,0,2,0,2,115.4
12,0,0,1,0,1,115.4
41,0,2,2,0,1,115.4
0,0,0,0,0,0,115.4
0,0,0,0,0,0,115.4
33,0,0,2,0,1,115.4
41,0,2,2,0,1,104.8
39,0,0,2,0,1,104.8
0,0,0,0,0,0,104.8
18,0,1,2,0,1,104.8
41,0,2,1,0,1,104.8
41,0,2,1,0,1,104.8
0,0,0,0,0,0,104.8
41,0,1,2,0,1,104.8
0,0,0,0,0,0,104.8
7,0,1,2,0,1,104.8
21,0,2,1,0,1,104.8
27,0,2,2,0,1,104.8
0,0,0,0,0,0,118.1
0,0,0,0,0,0,118.1
0,0,0,0,0,0,118.1
20,0,2,2,0,2,118.1
31,0,2,2,0,1,118.1
0,0,0,0,0,0,118.1
0,0,0,0,0,0,118.1
36,0,1,2,0,2,118.1
23,0,0,2,0,1,118.1
0,0,0,0,0,0,118.1
0,0,0,0,0,0,118.1
0,0,0,0,0,0,118.1
27,0,0,2,0,1,118.1
37,0,1,2,0,2,118.1
32,0,2,2,0,1,118.1
